,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
90,-5.4,37.51803779,-0.693468323,-1.166897094,0.034468189,-0.184047632,-0.058936655,-2.374039106,-1.860365417,-0.693468323
91,-3.9,29.51528282,-0.914629667,-0.038741518,0.061036613,-0.128842617,-0.001655084,-3.877548424,-0.953371185,-0.914629667
92,-3.8,33.92767685,-0.725521445,-0.395784098,0.029885417,-0.169627343,-0.08383362,-1.460383026,-1.121305543,-0.725521445
93,-4.7,38.50500149,-0.800603723,-0.948896146,0.067177434,-0.218906289,0.144761794,-9.130565886,-1.749499869,-0.800603723
94,-4.8,42.90127509,-0.940728354,-1.43110867,0.047904149,-0.241985984,0.15602229,-8.73313007,-2.371837024,-0.940728354
95,-3.9,39.01682285,-0.974307579,-1.757038578,0.024394845,-0.193495885,0.057744448,-5.570535121,-2.731346156,-0.974307579
96,-2.4,38.6912074,-1.439115205,0.485696562,0.039117924,-0.23115041,0.091771948,-7.8737115,-0.953418644,-1.439115205
97,-4.9,36.78517157,-0.817469032,-0.290059753,0.033475313,-0.190490912,0.015640818,-4.767700885,-1.107528784,-0.817469032
98,-4,35.0692951,-0.877260456,-0.870210118,0.039808243,-0.168329623,-0.029527499,-3.626946043,-1.747470574,-0.877260456
99,-4.9,38.91236809,-0.80776227,-0.718149613,0.019577398,-0.203095916,0.047084859,-4.964311852,-1.525911883,-0.80776227
100,-3.8,36.06845026,-0.70330341,-0.324611849,0.067540858,-0.215441841,-0.020260847,-2.762115358,-1.027915259,-0.70330341
101,-2.5,39.65284673,-0.999983438,-1.528730353,-0.00378235,-0.201462914,-0.081841623,-1.128159866,-2.528713791,-0.999983438
102,-4,36.62619122,-0.885112213,-0.525876697,0.020688208,-0.183676678,0.057414084,-5.347766748,-1.41098891,-0.885112213
103,-4,35.69209443,-0.709395634,-0.714790288,0.067851578,-0.205820137,0.02260556,-4.271803823,-1.424185921,-0.709395634
104,-5.5,37.59143414,-0.802751305,0.059734325,0.042481072,-0.206557431,0.056950601,-5.718903701,-0.74301698,-0.802751305
105,-3.8,31.5138265,-1.086860621,0.132120766,0.066148646,-0.152188451,0.041759772,-5.544788129,-0.954739855,-1.086860621
106,-3.5,34.08491253,-1.057647984,-0.476613203,0.050734637,-0.174673373,0.038449556,-5.236635064,-1.534261188,-1.057647984
107,-4.9,39.34143837,-0.862544221,-1.645522316,0.043505512,-0.203200875,0.061651963,-5.48575737,-2.508066537,-0.862544221
108,-4.5,34.94842014,-0.866800004,0.534059461,0.055505151,-0.200673685,0.039684225,-4.373087141,-0.332740543,-0.866800004
109,-4.1,30.02286133,-0.898802326,0.521604749,0.078958297,-0.15402369,0.000108865,-4.628472354,-0.377197577,-0.898802326
110,-3.8,38.58591113,-0.902797181,-0.558922833,0.057218806,-0.22075882,0.019935269,-4.79303726,-1.461720014,-0.902797181
111,-2.2,33.24569995,-1.081956378,0.63273712,0.050779745,-0.188119541,-0.037760043,-2.482447828,-0.449219258,-1.081956378
112,-5,35.12634832,-0.824849291,-0.276460855,0.058825874,-0.185645564,0.045105099,-5.960282145,-1.101310146,-0.824849291
113,-5.5,34.5747203,-1.011663481,-0.086028686,0.079825211,-0.171698539,0.091489749,-7.911848942,-1.097692167,-1.011663481
114,-4,34.65234826,-1.014418553,0.430413922,0.026020367,-0.176683807,-0.006803357,-3.755317561,-0.58400463,-1.014418553
115,-3.9,34.75452116,-0.963158702,0.393886967,0.060236225,-0.191160642,0.041510478,-5.669116571,-0.569271734,-0.963158702
116,-4,39.12511158,-0.939941211,-1.381657871,0.016344938,-0.189091865,-0.07068644,-2.013740574,-2.321599082,-0.939941211
117,-4.5,36.90713062,-0.782324738,-0.565418638,0.014089355,-0.173795888,-0.102370012,-2.119586418,-1.347743376,-0.782324738
118,-3.9,37.04930215,-0.746437602,0.414779552,0.029459136,-0.211363265,-0.067104943,-2.043368996,-0.33165805,-0.746437602
119,-3.9,35.69163678,-0.969154159,-0.714109715,0.014155244,-0.159340515,-0.000447789,-4.588800149,-1.683263873,-0.969154159
120,-3.8,35.39359582,-1.102518327,-1.129500027,0.041994669,-0.150282355,0.05844011,-7.08030161,-2.232018354,-1.102518327
121,-3.8,42.33325653,-0.914379614,-0.253584398,0.04238428,-0.268444869,0.078718995,-6.614528967,-1.167964012,-0.914379614
122,-5,32.20852342,-0.785120076,-0.323929788,0.074484766,-0.154861172,0.033033957,-5.62475931,-1.109049863,-0.785120076
123,-4.8,30.28863842,-0.675244738,-0.197430325,0.051759844,-0.130030592,-0.143950335,-0.236554502,-0.872675063,-0.675244738
124,-4.8,34.74628394,-0.704052094,-1.413221901,0.027790896,-0.152214684,-0.102266275,-0.931692144,-2.117273995,-0.704052094
125,-4.8,35.74748575,-1.331942309,-0.452505926,0.086479474,-0.172770985,0.256746068,-13.22085258,-1.784448235,-1.331942309
126,-3.2,34.76388637,-1.094155298,0.188835402,0.068016959,-0.1896937,-0.030683815,-4.27526479,-0.905319896,-1.094155298
127,-4.7,33.34006081,-0.972556745,-0.739641194,0.068364424,-0.160496231,0.125153648,-7.257352215,-1.712197939,-0.972556745
128,-3.5,34.68426027,-0.901528151,-0.502039577,0.037533154,-0.173450872,-0.052765624,-2.208682166,-1.403567728,-0.901528151
129,-5.7,39.17979828,-0.907591782,0.379826083,0.042110092,-0.21970352,0.110492922,-7.618957089,-0.527765699,-0.907591782
130,-4.9,39.18947025,-0.775520361,-1.495869559,0.003042842,-0.179280595,0.0358045,-5.281876533,-2.27138992,-0.775520361
131,-4,37.26126789,-0.971151006,-0.974151054,-0.01490656,-0.152425464,0.041400182,-6.66129341,-1.94530206,-0.971151006
132,-5,32.86906707,-0.973312487,0.102981933,0.063008439,-0.153774343,0.062366287,-6.822789546,-0.870330554,-0.973312487
133,-4.6,38.5252412,-0.944309778,-0.11104468,0.034773906,-0.208378605,0.077412378,-7.117131043,-1.055354458,-0.944309778
